and	ja
expansion	laajennus
wild	villiä
wild	hurja
planning	suunnittelu
planning	suunnittelua
comic	sarjakuva
adopted	hyväksytty
adopted	hyväksyttiin
adopted	hyväksyi
adopted	hyväksytyt
easy	helppo
easy	helppoa
plus	lisäksi
plus	plussaa
happy	hyvää
happy	onnellinen
happy	tyytyväinen
happy	iloinen
acts	säädökset
acts	teot
classes	kurssit
classes	luokat
grew	kasvoi
grew	kasvanut
save	tallenna
save	säästä
wins	voittaa
exists	olemassa
roles	roolit
roles	rooleja
chance	sattuma
chance	mahdollisuus
prevent	estettävä
prevent	ehkäistä
prevent	estää
candidates	hakijat
candidates	ehdokkaat
candidates	ehdokkaiden
candidates	ehdokkaita
object	kohde
felt	tuntui
felt	huopa
felt	tuntenut
powers	voimia
powers	valtuudet
powers	voimat
birds	lintujen
spread	levitä
spread	levinnyt
spread	leviäminen
defeat	häviö
cape	viitta
identified	tunnistettu
identified	yksilöity
regions	alueet
mine	minun
mine	kaivos
jul	heinä
showing	näytetään
showing	näyttäminen
teaching	opettaa
teaching	opettaminen
teaching	opetus
teaching	opetusta
guidelines	suuntaviivat
guidelines	ohjeet
guidelines	ohjeita
guidelines	suuntaviivojen
guidelines	suuntaviivoja
depth	syvyys
depth	syvyyteen
christmas	joulu
christmas	joulua
christmas	joulun
christmas	jouluna
declined	kieltäytyi
declined	kieltäytynyt
greece	kreikka
federation	liitto
federation	liittovaltio
journalist	lehtimies
journalist	toimittaja
intelligence	älykkyys
intelligence	tiedustelu
intelligence	tiedustelupalvelu
occurred	esiintyi
connection	yhteys
connection	yhteyden
displayed	näytetty
declared	ilmoitettu
declared	julistettiin
declared	julistettu
constitution	perustuslaki
constitution	perustuslain
standing	pystyssä
standing	seistä
standing	pysyvän
sons	poikia
plot	juoni
plot	tontti
dates	päivämäärät
dates	päivämääriä
proper	asianmukainen
ends	päättyy
ends	loppuu
pilot	lentäjä
relatively	suhteellisen
americans	amerikkalaisia
americans	amerikkalaiset
americans	yhdysvaltalaiset
introduction	esittely
introduction	käyttöönotto
directors	johtajat
vehicle	ajoneuvo
vehicle	ajoneuvoa
vehicle	ajoneuvon
stock	varastot
vehicles	ajoneuvot
vehicles	ajoneuvojen
israeli	israelin
israeli	israelilaiset
frequently	usein
performing	esiintyminen
performing	suorittaa
performing	esiintymistä
northwest	luoteeseen
drug	huumeet
drug	huume
drug	huumeiden
drug	lääke
visit	vierailun
visit	vierailu
visit	käymään
visit	käy
visit	käynti
residence	kotipaikka
residence	asuinpaikka
residence	oleskelu
interesting	mielenkiintoinen
interesting	mielenkiintoista
interesting	kiinnostavaa
moon	kuun
limit	rajoitus
limit	rajaa
limit	rajoita
minute	minuutti
minute	minuutissa
minute	minuutin
athletics	yleisurheilu
reduced	vähentynyt
wind	tuuli
architect	arkkitehti
ideas	ajatuksia
ideas	ideoita
electronic	sähköiset
electronic	sähköisen
electronic	sähköinen
crown	kruunua
crown	kruunun
younger	nuoremman
younger	nuorempia
younger	nuorempi
step	vaihe
weapons	aseet
unable	kykenemätön
neutral	puolueeton
connected	kytketty
connected	yhdistetty
connected	yhteydessä
connected	liitetty
switzerland	sveitsissä
armed	aseellinen
armed	viritetty
armed	aseistettu
weekly	viikossa
weekly	viikoittainen
weekly	viikoittain
weekly	viikko
rating	arvio
rating	arvostelu
rating	luokitus
programme	ohjelman
programme	ohjelma
multi	usean
cold	kylmä
cold	kylmää
cold	kyl
granted	myönnetään
granted	myönnetyt
granted	myönnetty
alliance	liitto
methods	menetelmiä
methods	menetelmät
refers	viittaa
heat	lämpöä
heat	kuumuus
heat	lämpö
fans	faneja
surrounding	ympäröivän
surrounding	ympäröivä
credit	hyvitys
credit	luotto
credit	luottoa
boxes	laatikoiden
boxes	laatikoita
ethnic	etnistä
speaking	puhuu
speaking	puhuminen
fell	putosi
core	ytimessä
core	ydin
dog	koiran
dog	koira
kill	tappaa
kill	tappakaa
athletic	urheilullinen
oldest	vanhin
oldest	vanhimmat
negative	kielteinen
confirmed	varmistettu
confirmed	vahvistetut
confirmed	vahvistanut
confirmed	vahvistettu
sixth	kuudennen
sixth	kuudes
tools	välineitä
tools	välineet
tools	työkalut
tools	työkaluja
weak	heikko
weak	heikkoa
weak	heikot
chosen	valittu
chosen	valitut
brand	merkki
rise	nouskaa
rise	nousu
supply	tarjonnan
supply	tarjonta
supply	toimitukset
tradition	perinteitä
tradition	perinne
household	kotitaloudet
household	kotitalouden
household	kotitalouksien
spirit	hengen
spirit	henki
task	tehtävän
task	tehtävä
slightly	hieman
slightly	hiukan
incident	välikohtaus
develop	kehittyy
develop	kehittää
develop	kehittyä
sunday	sunnuntaina
sunday	sunnuntaita
sunday	sunnuntai
discuss	keskustele
discuss	keskustella
stats	tilastot
stats	tilastoja
climate	ilmasto
topics	aiheet
topics	aiheita
purchased	hankittu
purchased	osti
purchased	ostettu
communications	viestintä
communications	tietoliikenne
broken	rikkinäinen
broken	rikottu
broken	rikki
situated	sijaitsee
license	ajokortti
license	lisenssi
deaths	kuolemia
deaths	kuolemat
passing	ohimenevä
citizens	kansalaisten
citizens	kansalaisia
citizens	kansalaiset
guns	aseet
gone	mennyt
gone	poissa
improved	parannettu
pope	paavin
pope	paavi
officials	virkamiehiä
officials	virkamiesten
officials	virkamiehet
sat	istuin
posted	julkaistu
posted	julkaisi
posted	lähetetty
posted	lähetetyt
posted	julkaissut
estimated	arvio
estimated	arvioidut
estimated	arviolta
estimated	arvioitu
contain	sisältävät
sexual	seksuaalista
sexual	sukupuoli
sexual	seksuaalinen
defence	puolustukseen
defence	puolustus
defence	puolustusta
defence	puolustaminen
rich	rikkaita
myself	itselleni
myself	itse
properties	kiinteistöt
properties	ominaisuudet
taught	opetti
taught	opetettu
taught	opettanut
extensive	laajat
extensive	laaja
exhibition	näyttely
exhibition	näyttelyyn
exhibition	näyttelyä
exhibition	näyttelyssä
speech	puhe
speech	puhetta
speech	puheenvuoro
proposal	ehdotus
straight	suoraan
straight	suorat
straight	suora
internal	sisäistä
internal	sisäisen
internal	sisäinen
internal	sisäiset
effective	tehokasta
effective	tehokas
effective	tehokkaat
solution	ratkaisu
solution	ratkaisua
fashion	muoti
fashion	muotia
fashion	muodin
foot	jalkaa
orange	oranssi
orange	appelsiini
brief	lyhyt
brief	lyhyesti
performances	esityksiä
performances	esitykset
adult	aikuiset
adult	aikuinen
adult	aikuista
adult	aikuisten
identity	henkilöllisyys
singers	laulajia
discussed	keskusteli
discussed	keskustellut
require	edellytä
transfer	siirrä
transfer	siirrettävä
transfer	siirto
transfer	siirrot
egypt	egyptin
egypt	egyptissä
egypt	egyptiin
cells	soluja
cells	solut
scoring	pisteytys
permanent	pysyvää
permanent	pysyvä
phase	vaihe
audience	yleisö
audience	kohderyhmä
audience	kohderyhmän
audience	kohderyhmää
audience	yleisöä
motion	liike
motion	esitys
hungarian	unkarilaiset
sets	sarjat
sets	asettaa
begin	aloita
setting	asettaminen
eyes	silmiä
eyes	katse
eyes	silmät
database	tietokannat
criminal	rikolliset
criminal	rikollista
commonwealth	yhteisö
finish	loppuun
communication	viestintä
communication	tiedonanto
communication	tiedonannon
scope	laajuus
accused	syytetty
accused	syytetyt
accused	syytettynä
accept	hyväksy
accept	hyväksyä
objects	esineitä
objects	esineet
objects	kohteet
contest	kilpailuun
contest	kilpailun
contest	kilpailu
fighter	hävittäjä
coaches	valmentajat
worldwide	maailmanlaajuiset
worldwide	maailmanlaajuinen
worldwide	maailmanlaajuisesti
showed	osoitti
showed	näytti
losing	häviää
losing	häviäminen
losing	menettää
losing	häviöllä
reality	todellisuus
reality	todellisuuden
reality	todellisuutta
broadcasting	lähetykset
enemy	vihollisia
enemy	viholliset
assessed	arvioitiin
assessed	arvioinut
buried	haudattu
buried	haudattiin
respect	kunnioittaa
respect	kunnioita
respect	kunnioitus
respect	kunnioitusta
rare	harvinaiset
rare	harvinainen
detroit	detroitin
graduate	valmistunut
graduate	tutkinto
graduate	ylioppilas
explain	selittää
explain	selitä
authorities	viranomaiset
authorities	viranomaisten
killing	tappaa
killing	tappamista
maximum	enintään
maximum	suurin
maximum	enimmäismäärä
fan	ihailija
notify	ilmoitettava
notify	ilmoita
returning	palautetaan
attempted	yritettiin
universe	maailmankaikkeus
passes	kulkee
obvious	ilmiselvä
obvious	ilmeinen
obvious	ilmeistä
suffered	kärsi
suffered	kärsineet
suffered	kärsinyt
pieces	kpl
apply	sovelletaan
apply	soveltaa
competitions	kilpailut
competitions	kilpailuihin
competitions	kilpailuja
aid	tuen
aid	tuki
driver	kuljettajan
driver	kuljettaja
baby	vauva
calling	soittaa
calling	kutsuu
happened	tapahtunut
happened	tapahtui
danish	tanska
wants	haluaa
wants	tahtoo
formula	kaavan
formula	kaava
formula	kaavaa
weather	sää
powerful	voimakasta
powerful	voimakkaita
powerful	voimakas
registered	rekisteröity
registered	kirjattu
registered	rekisteröityä
registered	rekisteröidyt
publisher	kustantaja
publisher	julkaisija
sounds	kuulostaa
sounds	äänet
approved	hyväksytty
approved	hyväksyttiin
approved	hyväksynyt
approved	hyväksytyt
achieved	saavutetut
achieved	saavutettiin
achieved	saavutettu
fund	rahasto
portugal	portugalissa
athletes	urheilijoita
athletes	urheilijat
audio	ääntä
audio	ääni
cat	kissa
centuries	vuosisatojen
centuries	vuosisatoja
chemical	kemiallinen
chemical	kemialliset
items	erät
items	kohdat
items	kohteita
items	kohteet
counties	maakunnat
update	päivittää
update	päivitä
update	päivitys
speak	puhua
finding	löytäminen
finding	löytää
domestic	kotimaiset
domestic	kotimaa
domestic	kotimaan
false	väärä
false	väärät
equivalent	vastaavat
equivalent	vastine
equivalent	vastaava
caught	kiinni
ending	päättymässä
ending	päättyy
perform	suorita
perform	suorittaa
perform	esiintyä
partner	kumppani
partner	kumppania
aviation	lentoliikenne
aviation	ilmailu
aviation	ilmailun
failure	epäonnistuminen
ward	osastolla
strength	voima
strength	voimia
strength	vahvuus
strength	voimaa
nominations	ehdokkaat
nominations	nimitykset
concern	huoli
concern	huolenaihe
keeping	pitäminen
functions	toiminnot
calls	puhelut
calls	puheluita
calls	kutsuu
criticism	kritiikki
criticism	arvostelua
criticism	arvostelu
criticism	arvostelun
criticism	kritiikkiä
magic	taikuutta
magic	taikuus
treaty	perustamissopimus
treaty	sopimus
treaty	perustamissopimuksen
selection	valikoima
selection	valinta
motor	moottori
obtained	saatu
wish	toivottaa
wish	toive
compilation	kokoaminen
compilation	kokoelma
harvard	harvardissa
islamic	islamilaisen
determined	määritetty
determined	määrätietoinen
determined	määritetyt
determined	päättäväinen
determined	määritetään
fuel	polttoaineen
fuel	polttoaineet
fuel	polttoaine
fuel	polttoainetta
medieval	keskiaikainen
locations	sijainnit
inclusion	sisällyttäminen
inclusion	osallisuus
inclusion	osallisuutta
northeast	koillis
northeast	koilliseen
chamber	jaosto
chamber	kammio
moment	hetki
somewhat	jokseenkin
grounds	perusteet
anyway	jokatapauksessa
succeeded	onnistui
succeeded	onnistuivat
condition	edellytys
condition	kunto
physics	fysiikkaa
physics	fysiikan
newspapers	sanomalehdet
newspapers	lehdet
newspapers	sanomalehtiä
instance	oikeusasteen
represent	edustaa
represent	edusta
represent	edustavat
watch	kello
watch	katso
protect	suojata
protect	suojele
protect	suojella
protect	suojaa
grey	harmaa
launch	laukaisu
launch	käynnistää
launch	käynnistä
changing	muuttuu
changing	muuttaminen
changing	muuttuvat
changing	muuttuva
changing	muuttaa
ukraine	ukrainassa
municipalities	kuntaa
municipalities	kuntien
mix	sekoita
shift	vuoro
shared	jaettu
shared	jaetut
investigation	tutkimus
investigation	tutkinta
institution	toimielin
princess	prinsessa
applications	sovellukset
applications	hakemukset
applications	sovellusten
applications	sovelluksia
requirements	vaatimuksia
requirements	vaatimukset
talking	puhuu
talking	puhuminen
talking	puhuva
talking	puhetta
gray	harmaa
sector	toimiala
agricultural	maatalouden
agricultural	maatalous
incorporated	sisällytetty
orders	määräys
orders	tilaukset
orders	määräykset
orders	käskyjä
orders	tilauksia
corner	kulmassa
founding	perustaja
subjects	aiheet
subjects	aiheita
subjects	kohteet
temperature	lämpötila
settled	vakiintunut
remember	muista
remember	muistakaa
promote	edistää
promote	mainostaa
promote	markkinoi
promote	markkinoida
values	arvot
values	arvoja
spot	paikka
progress	edistystä
progress	edistyminen
progress	edistys
learn	oppia
occupied	varattu
usage	käyttö
southwest	lounaaseen
refused	evätty
refused	kieltäytyi
refused	kieltäytynyt
truth	totuuden
truth	totuus
sufficient	riittävät
sufficient	riittävä
sufficient	riittävästi
persons	henkilöitä
persons	henkilöt
persons	henkilöiden
factory	tehtaan
factory	tehtaassa
factory	tehdas
fought	taistellut
derived	johdettu
outstanding	erinomainen
magazines	lehtiä
magazines	lehdet
flow	virtauksen
attacked	hyökkäsi
attacked	hyökätty
requires	edellyttää
option	vaihtoehto
starts	alkaa
carry	kantaa
establishment	toimipaikka
establishment	perustamista
establishment	perustaminen
selling	myy
selling	myyminen
selling	myydä
selling	myydään
causes	aiheuttaa
causes	syyt
causes	syitä
budget	talousarvio
budget	talousarvion
battles	taistelut
sky	taivaan
sourced	hankkivat
arrested	pidätetty
arrested	pidätettynä
arrested	pidätettiin
broke	hajosi
broke	rikkoi
broke	katkesi
broke	rikki
injury	vaurio
injury	vahinko
injury	vahinkoa
injury	vammat
violence	väkivalta
violence	väkivaltaa
violence	väkivaltaisuudet
significantly	merkittävästi
significantly	merkitsevästi
significantly	huomattavasti
statements	lausunnot
controlled	ohjattu
controlled	valvottu
controlled	hallinnassa
dropped	pudotti
translated	käännetty
papers	paperit
detail	yksityiskohtainen
detail	yksityiskohdat
detail	yksityiskohtaisesti
detail	yksityiskohta
thousands	tuhansia
banks	pankkien
herself	itsensä
offensive	loukkaava
offensive	loukkaavaa
kings	kuninkaat
factor	tekijä
factor	tekijää
replace	korvata
replace	korvataan
replace	korvaa
museums	museot
resistance	kestävyys
resistance	vastarinta
resistance	vastarinnan
resistance	vastarintaa
junction	risteykseen
engines	moottorit
medium	keskikokoinen
device	laite
device	laitetta
device	laitteen
dream	haaveilla
enter	kirjoita
twelve	kaksitoista
typical	tyypillistä
typical	tyypillisiä
typical	tyypillinen
seeing	näkemistä
seeing	näkeminen
skills	taitoja
skills	osaaminen
skills	taidot
bought	osti
bought	ostettu
funding	rahoitus
funding	rahoitusta
agriculture	maatalous
parent	vanhemman
parent	vanhemmat
parent	vanhempi
parent	vanhempaa
decades	vuosikymmeniä
decades	vuosikymmenten
decades	vuosikymmenien
decades	vuosikymmen
receiving	vastaanottavat
receiving	vastaanottava
reform	uudistaminen
reform	uudistukset
reform	uudistuksen
managers	päälliköt
managers	johtajat
qualified	pätevä
qualified	pätevää
obviously	ilmiselvästi
obviously	selvästi
obviously	ilmeisesti
soul	sielu
soul	sielua
soul	sielun
discussions	keskusteluissa
discussions	keskustelut
discussions	keskusteluja
turns	kääntyy
entrance	sisäänkäynnin
entrance	sisäänpääsy
entrance	sisäänkäynti
path	polku
path	polkua
nice	mukavaa
nice	hieno
nice	kiva
influenced	vaikuttivat
influenced	vaikutti
influenced	vaikuttaneet
influenced	vaikuttanut
developing	kehittymässä
developing	kehittää
developing	kehittyy
developing	kehitetään
developing	kehittyvät
developing	kehittäminen
abandoned	hylätty
abandoned	hylännyt
abandoned	hylättynä
humans	ihmiset
sample	näytettä
sample	näytteen
sample	näyte
contained	sisälsi
banned	estetty
banned	kielletty
strongly	voimakkaasti
strongly	vahvasti
visited	vieraillut
visited	käynyt
visited	käyty
visited	vieraili
increasing	kasvaa
increasing	lisääntyy
increasing	kasvava
attorney	asianajaja
arm	käsi
arm	käsivarsi
arm	käsivarren
mathematics	matematiikka
mathematics	matematiikkaa
canal	kanava
charts	kaaviot
charts	kartat
thinking	ajattelun
thinking	ajattelu
thinking	ajattelua
suggests	ehdottaa
brain	aivoja
brain	aivot
blog	blogissa
blog	blogin
economics	talous
economics	taloutta
seventh	seitsemäs
employed	palveluksessa
heavily	raskaasti
authors	tekijät
paintings	maalaukset
paintings	maalauksia
paintings	tauluja
concerned	huolestunut
recipients	vastaanottajille
controversial	ristiriitainen
controversial	kiistanalaista
expressed	ilmaistu
expressed	ilmaistuna
expressed	ilmaissut
expressed	ilmaisi
conservation	suojelu
conservation	säilyttäminen
maps	karttoja
maps	kartat
arguments	perustelut
arguments	väitteet
chain	ketjun
chain	ketjut
chain	ketjussa
chain	ketju
focused	keskittynyt
readers	lukija
readers	lukijat
violation	rikkomisen
violation	rikkomus
violation	rikkomuksen
violation	rikkominen
violation	rikkoo
offices	toimistot
offices	toimistoja
circle	ympyrää
circle	kehä
invasion	hyökkäys
invasion	hyökkäyksen
opportunity	tilaisuus
opportunity	mahdollisuus
opportunity	tilaisuuden
determine	määritetään
determine	määrittää
voted	äänestänyt
voted	äänesti
voted	äänestetty
formal	muodollista
formal	muodollinen
formal	muodolliset
describes	kuvailee
describes	kuvataan
describes	kuvaillaan
seconds	sekunnin
cycle	kierto
doubt	epäilys
doubt	epäilykset
doubt	epäile
doubt	epäilystä
walls	seiniä
walls	seinät
closely	tiiviisti
huge	valtava
huge	valtavat
representing	edustaa
representing	edustava
representing	edustavat
sell	myy
sell	myydä
sell	myydään
drawn	vedetty
drawn	piirretty
diocese	hiippakunta
tank	säiliö
tank	tankki
advice	neuvo
advice	neuvoja
advice	neuvonta
advice	neuvot
generated	luotu
generated	tuotettu
asking	kysyy
finland	suomi
finland	suomea
causing	aiheuttaa
leads	johtaa
lawyer	asianajaja
index	hakemisto
saints	pyhimyksiä
crisis	kriisit
crisis	kriisin
cinema	elokuva
reaction	reagoi
documents	asiakirjojen
documents	asiakirjoja
documents	asiakirjat
reader	lukija
pattern	kaava
pattern	kuvio
archives	arkisto
archives	arkistot
looked	näytti
looked	näyttivät
bear	karhu
bear	karhua
perfect	täydelliset
perfect	täydellistä
perfect	täydellinen
restored	palautettiin
restored	palautettua
restored	palautettu
duty	velvollisuus
duty	tulli
chair	tuolin
chair	tuoli
scenes	kohtauksia
scenes	kohtaukset
opposite	päinvastainen
opposite	vastapäätä
stuff	tavaraa
stuff	juttuja
aged	vanhentunut
aged	ikäinen
streets	katuja
streets	kaduilla
extension	laajentaminen
extension	pidentäminen
extension	laajennus
extension	laajentamisesta
shooting	ammuskelua
shooting	ammuskelu
shooting	ampuminen
ready	valmiina
pick	valitse
songwriter	lauluntekijä
aware	tietoisia
dictionary	sanakirja
composition	kokoonpano
salt	suolan
salt	suola
salt	suolaa
successfully	onnistuneesti
successfully	menestyksekkäästi
benefit	hyötyä
benefit	hyöty
benefit	hyödyt
interests	edut
scheduled	ajoitettu
teachers	opettajat
teachers	opettajille
teachers	opettajia
closing	lähenee
closing	lähestyy
closing	sulkeminen
closing	sulkeutuu
closing	suljetaan
advertising	mainostaminen
advertising	mainos
advertising	mainonta
maine	maineen
retirement	eläkkeelle
retirement	eläkkeellä
retirement	eläke
scientists	tutkijoita
scientists	tiedemiehet
scientists	tutkijat
scientists	tiedemiehiä
blocks	korttelia
requested	pyydetty
requested	haettu
requested	pyydetyt
requested	pyydettiin
discovery	löytö
discovery	löytöjä
explained	selitetty
explained	selittänyt
expedition	retkikunta
assist	avustaa
assist	avustaminen
creative	luova
creative	luovaa
maintain	säilytettävä
maintain	säilyttää
maintain	ylläpitää
detailed	yksityiskohtainen
detailed	yksityiskohtaiset
facts	tosiasiat
finance	rahoitus
returns	palauttaa
engaged	kihloihin
engaged	kihloissa
assistance	avustaminen
experienced	kokenut
experienced	kokeneet
experienced	koettu
sale	myyntiin
sale	myynti
beautiful	kaunista
beautiful	kaunis
beautiful	kauniit
successor	seuraaja
classification	luokittelu
classification	luokitus
tool	työkalun
tool	väline
tool	työkalu
mining	kaivostoiminta
mining	kaivos
producing	tuottaminen
producing	tuottavat
producing	tuottaa
cabinet	hallitus
maintained	säilytetty
evening	iltaa
evening	ilta
gender	sukupuoli
mail	postia
mail	sähköposti
emergency	hätä
emergency	hätätila
heads	päitä
proved	todisti
proved	osoittautunut
proved	todistettu
proved	osoittautui
funds	rahastot
investment	investointeja
investment	sijoitukset
investment	sijoitus
investment	investoinnit
investment	investointi
session	istunto
session	istuntoa
capture	talteenotto
aspects	näkökohdat
aspects	näkökohtia
reduce	vähentää
reduce	vähennä
reduce	pienentää
trophy	palkinto
abuse	väärinkäyttö
abuse	väärinkäytön
abuse	väärinkäyttöä
abuse	pahoinpitely
abuse	väärinkäytökset
walk	kävellä
walk	kävely
normally	yleensä
normally	normaalisti
normally	tavallisesti
snow	lunta
shop	kauppa
coal	hiilen
coal	hiili
coal	kivihiili
inhabitants	asukkaita
employees	työntekijöitä
employees	työntekijöiden
employees	työntekijät
error	virhe
protein	proteiini
protein	proteiinia
protein	proteiineja
protein	proteiinin
accident	vahinko
accident	onnettomuus
decade	vuosikymmenen
decade	vuosikymmen
decade	vuosikymmenellä
measure	mitata
measure	mitta
measure	toimenpide
measure	toimenpiteen
measure	mittaa
watched	katsoi
watched	katsottu
watched	katsellut
downtown	keskusta
downtown	keskustaan
downtown	keskustassa
downtown	keskustan
animated	animoitu
satellite	satelliitti
combination	yhdistelmän
combination	yhdistelmä
courts	tuomioistuinten
courts	tuomioistuimet
sequence	sarja
clean	puhdasta
clean	puhdas
clean	puhtaat
owners	omistajia
owners	omistajille
owners	omistajat
twin	kaksonen
describe	kuvailla
defensive	puolustus
photos	valokuvat
photos	kuvia
photos	kuvat
photos	valokuvia
photos	kuvien
trained	koulutettu
affected	vaikuttanut
affected	vaikutti
routes	reittejä
wine	viinit
wine	viiniä
wine	viini
elsewhere	muualle
elsewhere	muualla
elsewhere	muuallakin
biggest	suurimmat
biggest	suurin
biggest	isoin
landing	purkaminen
landing	laskeutuminen
landing	lasku
collected	kerätään
collected	kerätyt
collected	kerätty
communes	kuntaa
saturday	lauantai
saturday	lauantaina
drop	pudotus
drop	pudota
swimming	uimassa
swimming	uimaan
membership	jäsenyyttä
membership	jäsenyys
fit	hyväkuntoinen
fit	sovi
dallas	dallasissa
degrees	astetta
bachelor	poikamies
personally	henkilökohtaisesti
briefly	lyhyesti
files	tiedostojen
files	tiedostoja
files	tiedostot
extreme	äärimmäinen
extreme	äärimmäisen
extreme	äärimmäistä
courses	kurssit
courses	kurssien
reaching	saavuttaa
vision	näkemys
vision	näkö
vision	näky
demand	kysyntä
demand	kysyntää
vertical	pystysuuntainen
updated	päivitettiin
updated	päivitetty
updated	päivitetään
marketing	markkinoinnin
marketing	markkinointi
consisted	koostui
appeal	valituksen
plane	lentokone
quick	nopea
quick	nopeasti
solar	auringon
solar	aurinko
ages	ikuisuus
neighborhood	naapurusto
neighborhood	naapuruston
fairly	melko
wings	siivet
wings	siipien
scheme	järjestelmän
scheme	järjestelmä
constant	jatkuvasti
constant	jatkuvaa
constant	jatkuva
admins	ylläpitäjät
composers	säveltäjien
learned	oppineet
instruments	välineitä
instruments	välineet
welcome	tervetuloa
hair	hiukset
hair	tukka
hair	hiuksia
consecutive	peräkkäisen
movies	elokuvista
movies	elokuvat
movies	elokuvissa
movies	elokuvia
adjacent	vierekkäisten
adjacent	vieressä
collections	kokoelmat
corporate	yritysten
ensure	varmistettava
ensure	varmistaa
ensure	varmistavat
driving	ajettu
driving	ajaminen
driving	ajaa
phone	puhelimen
phone	puhelin
fly	kärpänen
fly	lennä
fly	lentää
window	ikkunan
document	asiakirjan
document	dokumentti
document	asiakirja
collaboration	yhteistyön
collaboration	yhteistyötä
collaboration	yhteistyö
leg	jalkaa
videos	videot
assume	oletetaan
assume	olettaa
attached	liitetty
attached	kiinnitetty
attached	liitteenä
dry	kuivaa
dry	kuivat
dry	kuiva
expand	laajentaa
expand	laajenna
bible	raamattua
bible	raamattu
depending	riippuen
instrument	välineen
instrument	instrumentti
instrument	väline
covering	kattaa
random	satunnaista
random	satunnainen
random	satunnaisia
represents	edustaa
participants	osallistujia
participants	osanottajat
participants	osallistujien
participants	osallistujat
thorough	perusteellista
thorough	perusteellinen
mentions	mainitsee
portrait	muotokuva
drivers	kuljettajien
drivers	kuljettajia
drivers	kuljettajat
drivers	ohjaimet
airlines	lentoyhtiöt
airlines	lentoyhtiöiden
viewers	katsojat
viewers	katsojia
finnish	suomeksi
finnish	suomalainen
finnish	suomen
finnish	suomalaista
differences	erot
differences	eroja
differences	erimielisyydet
element	elementti
regularly	säännöllisesti
rejected	hylättiin
rejected	hylätty
relative	suhteellista
relative	suhteellisesti
relative	suhteellinen
illegal	laittomat
illegal	laitonta
illegal	laittomia
illegal	laiton
roof	kattoa
colour	värit
colour	väriä
colour	väri
prisoners	vankeja
prisoners	vankien
facebook	facebookissa
attend	osallistu
attend	osallistua
survived	selvisi
survived	selvinnyt
survived	selviytyi
insurance	vakuutus
insurance	vakuutuksen
insurance	vakuutukset
expert	asiantuntijaa
expert	asiantuntija
expert	asiantuntijan
steam	höyryä
cards	kortteja
manufacturing	valmistus
testing	testaa
rescue	pelastaa
rescue	pelastaminen
struck	iski
choose	valitse
journey	matkaa
journey	matkan
journey	matka
storage	säilytys
storage	varastointi
costs	kustannukset
costs	kulut
colony	siirtokunta
evolution	evoluutio
evolution	kehitys
evolution	kehittyminen
taiwan	taiwanissa
hurricane	pyörremyrsky
judges	tuomarit
judges	tuomareita
gardens	puutarhat
poems	runoja
removing	poistetaan
driven	ajettu
driven	ajanut
driven	ajettiin
responsibility	velvollisuus
responsibility	vastuu
responsibility	vastuun
responsibility	vastuuta
sentences	tuomiot
engineers	insinöörit
visible	näkyvä
visible	näkyvissä
visible	näkyy
visible	näkyvät
gulf	persianlahden
installed	asennettu
installed	asennettuna
revolutionary	vallankumouksellinen
inner	sisäinen
trip	matkan
trip	matka
restaurant	ravintola
restaurant	ravintolassa
stores	liikkeet
stores	varastot
stores	kaupat
rice	riisiä
prove	todista
prove	todistaa
reasonable	kohtuullinen
reasonable	kohtuullisen
reasonable	kohtuulliset
reasonable	kohtuullista
reasonable	järkevä
skin	ihon
skin	ihoa
committed	sitoutuneet
committed	sitoutunut
committed	sidotut
committed	sitoutui
factors	kertoimet
factors	tekijät
factors	tekijöitä
hundreds	satoja
injured	vahingoittunut
injured	loukkaantunut
injured	haavoittunut
injured	loukkaantuneita
devices	laitteita
devices	laitteiden
devices	laitteet
advantage	etuna
automatically	automaattisesti
disc	levyn
disc	levyä
minimum	vähintään
goods	tavarat
charges	syytteet
charges	maksut
charges	kulut
operator	operaattori
operator	toimija
finishing	viimeistely
identify	tunnista
producers	tuottajia
producers	valmistajat
producers	tuottajat
helps	auttaa
latest	uusin
latest	uusimmat
latest	viimeisin
latest	viimeisimmät
victims	uhrien
victims	uhrit
explanation	selitys
explanation	selitykset
threat	uhkaus
threat	uhkaa
threat	uhka
crossing	ylittää
crossing	ylittäminen
crossing	ylitys
slow	hitaasti
poets	runoilijat
stopped	pysähtyi
stopped	pysäytetty
associate	liitä
significance	merkitys
significance	merkityksen
significance	merkitystä
excellent	erinomainen
observed	todetut
observed	havaittu
threatened	uhkasi
threatened	uhkaili
threatened	uhattuna
friendly	ystävällinen
friendly	ystävällistä
temporary	tilapäinen
temporary	väliaikaisesti
temporary	väliaikainen
temporary	väliaikaiset
temporary	tilapäiset
masters	päälliköt
networks	verkostot
networks	verkkojen
networks	verkot
passengers	matkustajia
passengers	matkustajien
passengers	matkustajat
assumed	oletettu
assumed	oletettiin
safe	turvassa
safe	turvallista
safe	turvallinen
festivals	festivaalit
compete	kilpailla
compete	kilpaile
hunter	metsästäjä
alaska	alaskassa
partnership	kumppanuuden
partnership	kumppanuus
maintenance	huolto
maintenance	ylläpito
monitoring	seuranta
monitoring	valvonta
evil	pahaa
evil	ilkeä
relief	helpotusta
relief	helpotus
poverty	köyhyyden
poverty	köyhyyteen
poverty	köyhyys
poverty	köyhyyttä
suspected	epäilty
suspected	epäillään
