and	그리고
prevent	예방
candidates	후보
candidates	후보자
object	객체
object	개체
object	대상
object	천체
powers	권력
powers	파워스
birds	새들
defeat	패배
cape	케이프
regions	지역
mine	광산
teaching	교육
teaching	교사
teaching	가르침
guidelines	가이드라인
guidelines	지침
depth	깊이
depth	농도
lyrics	노랫말
christmas	크리스마스
declined	거절
greece	그리스
federation	연맹
federation	연방
journalist	기자
journalist	언론인
journalist	저널리스트
intelligence	지능
connection	커넥션
connection	연결
displayed	표시됨
portuguese	포르투갈령
portuguese	포르투갈어
declared	선포
constitution	헌법
standing	스탠딩
sons	아들들
plot	플롯
dates	날짜
dates	데이트
proper	적절한
ends	종료
pilot	조종사
pilot	파일럿
relatively	상대적으로
receive	받기
manchester	맨체스터
queensland	퀸즐랜드
americans	미국인
introduction	소개
introduction	도입
introduction	소개팅
vehicle	차량
stock	주식
stock	재고
vehicles	차량
frequently	자주
hills	힐스
hills	언덕
performing	공연
performing	성과
northwest	북서쪽
northwest	노스웨스트
northwest	북서부
northwest	북서
drug	마약
drug	약물
drug	의약품
visit	방문
visit	방문하기
residence	거주지
residence	주택
residence	레지던스
residence	주택지
interesting	흥미롭다
interesting	흥미로운
interesting	재미있는
limit	한계
limit	제한
limit	극한
athletics	육상
wind	바람
architect	건축가
architect	건축
ideas	아이디어
electronic	전자
electronic	일렉트로닉
crown	왕관
crown	크라운
younger	어려
step	스텝
step	단계
step	걸음
weapons	무기
neutral	중성
neutral	중립성
neutral	중립
connected	연결됨
switzerland	스위스
armed	무장
weekly	주간
weekly	매주
rating	평가
rating	평가하기
rating	별점
rating	평점
multi	멀티
dynasty	왕조
cold	춥다
cold	감기
cold	추위
cold	차가운
alliance	동맹
alliance	얼라이언스
methods	수단
methods	메서드
methods	방법
alabama	앨라배마
albert	알베르트
albert	앨버트
tropical	열대
heat	더위
heat	히트
fans	팬들
surrounding	둘러싸인
purposes	목적
credit	크레딧
credit	신용
credit	신용카드
commons	커먼즈
boxes	상자
boxes	박스
speaking	말하기
roads	도로
core	핵심
core	코어
dog	개그
kill	킬링
athletic	애슬레틱
oldest	장수
negative	부정적
negative	음수
negative	음성
confirmed	확정
confirmed	확인됨
sixth	여섯번째
edge	엣지
edge	모서리
tools	도구
colonel	대령
weak	약한
weak	약해
chosen	선정
brand	브랜드
rise	상승
supply	공급
tradition	전통
elementary	초등
household	집안
household	가구
spirit	스피릿
spirit	정신
task	작업
slightly	약간
howard	하워드
sunday	일요일
discuss	토론하기
discuss	논의
stats	통계
climate	기후학
climate	기후
topics	주제
purchased	구매
communications	커뮤니케이션
communications	통신
communications	커뮤니케이션스
chapter	챕터
broken	깨짐
broken	부러진
broken	깨진
singapore	싱가포르가
singapore	싱가폴
singapore	싱가포르
license	라이선스
license	라이센스
license	면허
license	허가서
haven	헤이븐
deaths	죽음
passing	지나가다
passing	지나가다가
passing	지나가
passing	지나가는
citizens	시민
citizens	시민들
guns	총기
trees	나무들
trees	트리
trees	나무
visual	시각
visual	비주얼
pope	교황
glass	잔다
glass	유리
glass	글래스
miller	밀러
posted	게시
estimated	추정
brazilian	브라질
defence	방위
defence	국방
defence	방어
defence	디펜스
rich	부자
properties	특성
properties	자산
properties	속성
exhibition	전람회
exhibition	전시관
exhibition	박람회
exhibition	전시회
speech	연설
speech	음성
proposal	제안
straight	똑바로
straight	스트레이트
internal	내부
effective	효과적
solution	해결책
solution	솔루션
fashion	패션
foot	발발
orange	오렌지
orange	오렌지색
argentina	아르헨티나
argentina	아르헨티나인
performances	공연
adult	성인
adult	어른
identity	정체성
identity	본인
inspired	영감
discussed	논의
facility	시설
transfer	전송
egypt	이집트
cells	세포
patrick	파트리크
patrick	패트릭
connecticut	코네티컷
scoring	득점권
scoring	득점
anthony	안토니우스
anthony	앤서니
permanent	영구적
permanent	영구
audience	타겟
audience	관객
motion	모션
motion	움직임
blues	블루스
hungarian	헝가리
hungarian	헝가리어
arab	아랍인
arab	아랍
trains	기차
trains	열차
sets	세트
begin	시작
setting	설정
eyes	눈빛
database	데이터베이스
studios	스튜디오스
studios	스튜디오
criminal	범죄자
commonwealth	연방
finish	완료
finish	마무리
finish	마침
finish	끝내기
communication	의사소통
communication	커뮤니케이션
communication	소통
communication	통신
scope	범위
scope	스코프
accused	피고
accused	피고인
divisions	분열
accept	수락
warning	경고
alan	앨런
alan	알렌
alan	알란
objects	객체
objects	개체
objects	물체
objects	천체
contest	콘테스트
contest	대회
fighter	전투기
fighter	파이터
coaches	코치
beat	이겨
beat	비트
ford	포드
houston	휴스턴
worldwide	전세계
cathedral	성당
cathedral	대성당
advance	미리
reality	리얼리티
reality	현실
broadcasting	방송
adam	아담
adam	애덤
youtube	유튜브
youtube	유투브
respect	존경
respect	존중
rare	희귀한
rare	귀한
rare	희귀
rare	드문
detroit	디트로이트
graduate	졸업
colleges	대학교
colleges	대학
explain	설명
explain	설명해
explain	설명하기
explain	설명해주세요
authorities	당국
maximum	최대
painter	화가
hamilton	해밀턴
universe	우주
obvious	명백하다
pieces	조각
apply	적용
apply	적용하기
apply	신청
actresses	여배우들
actresses	여배우
competitions	대회
aid	원조
driver	드라이버
driver	운전사
folk	포크
folk	민속
baby	베이비
baby	아기
billboard	간판
billboard	빌보드
danish	덴마크어
danish	덴마크
formula	공식
formula	포뮬러
interior	인테리어
interior	내부
weather	날씨
powerful	강력
powerful	강력한
powerful	강력하다
muslim	이슬람교
muslim	무슬림
registered	등기
registered	등록
publisher	출판사
publisher	퍼블리셔
publisher	출판
sounds	소리
eric	에리크
eric	에릭
approved	승인
achieved	달성
fund	기금
fund	펀드
portugal	포르투갈
athletes	운동선수
bird	조류
bands	밴드
audio	오디오
cat	고양이
centuries	세기
chemical	화학물질
chemical	화학
items	상품
items	항목
items	품목
items	아이템
lane	레인
lane	차로
update	갱신
update	업데이트
speak	말하기
finding	찾기
domestic	국내
ali	알리
false	거짓
false	가짜
christ	그리스도
christ	크라이스트
ending	엔딩
perform	수행
partner	파트너
romania	루마니아
romania	루마니아인
romania	루마니아어
aviation	항공
failure	실패
ward	워드
strength	체력
knight	기사
knight	나이트
nominations	후보
hungary	헝가리
concern	염려
concern	우려
recordings	녹음
recordings	레코딩스
recordings	레코딩
recordings	레코드
functions	함수
calls	통화
criticism	평론
criticism	비판
criticism	비평
magic	마술
magic	마법
magic	매직
gordon	고든
treaty	조약
antonio	안토니오
selection	선택
rear	후방
motor	모터
motor	전동기
circuit	서킷
circuit	회로
wish	소원
compilation	컴필레이션
compilation	컴파일러
compilation	컴파일
harvard	하버드
islamic	이슬람
geography	지리학
geography	지리
arkansas	아칸소
fuel	연료
locations	위치
recognition	인식
northeast	북동
northeast	북동부
moment	순간
somewhat	다소
anyway	어쨌든
anyway	어쨌거나
condition	조건
physics	물리학
physics	물리
newspapers	신문
instance	인스턴스
allen	앨런
watch	시계
protect	보호하기
protect	보호
grey	회색
grey	그레이
launch	출시
launch	실행
launch	발사
launch	런칭
dave	데이브
philip	펠리페
philip	필립
iraq	이라크
changing	바뀌기
changing	변경
ukraine	우크라이나
mix	섞어
mix	믹스
mix	혼합
shift	쉬프트
shift	시프트
shared	공유
investigation	조사
investigation	수사
institution	기관
princess	공주
princess	공주님
princess	프린세스
ultimately	궁극
parks	파크
parks	공원
parks	파크스
applications	애플리케이션
applications	어플리케이션
requirements	요구사항
gray	회색
gray	그레이
sector	섹터
sector	부문
agricultural	농업
agricultural	농지
escape	탈출
orders	주문
corner	구석
corner	모퉁이
corner	코너
founding	창립
subjects	과목
temperature	기온
temperature	체온
temperature	온도
settled	정착
remember	기억해
remember	기억하기
remember	기억하라
remember	기억
miami	마이애미
promote	홍보
promote	홍보하기
values	가치관
values	가치
spot	스팟
progress	진행
learn	배운다
learn	배워
planet	행성
planet	플래닛
occupied	점령
usage	사용법
usage	사용량
usage	사용
southwest	사우스웨스트
southwest	남서
southwest	남서부
truth	진실
truth	진리
clark	클라크
equal	평등
factory	공장
factory	팩토리
magazines	잡지
flow	플로
flow	플로우
flow	흐름
peer	피어
peer	동료
attacked	습격
generate	생성하기
generate	생성
option	옵션
lincoln	링컨
starts	시작
stands	스탠드
establishment	설립
selling	판매
causes	원인
budget	예산
battles	전투
sky	하늘
sky	스카이
legend	전설
legend	레전드
arrested	체포
forum	포럼
metro	메트로
metro	지하철
broke	생김
strike	파업
strike	스트라이크
injury	부상
ryan	라이언
zero	제로
violence	폭력
controlled	제어
welsh	웨일스어
welsh	웨일스
welsh	웰시
dropped	떨어짐
translated	번역
papers	종이
papers	신문
papers	페이퍼
papers	서류
detail	상세
detail	자세히
detail	세부사항
chapel	채플
chapel	예배당
thousands	수천만
thousands	수천
banks	뱅크
banks	은행
banks	뱅크스
kings	킹스
factor	팩터
factor	인자
factor	요인
replace	교체
replace	대체
replace	바꾸기
museums	박물관
museums	박물관과
resistance	저항운동
resistance	저항성
resistance	저항
tries	시도
engines	엔진
medium	미디엄
medium	미디어
medium	중간
device	기기
device	단말기
device	장치
dream	드림
enter	입력
enter	입력합니다
enter	입력하기
typical	전형적
typical	전형
typical	전형적인
skills	스킬
skills	솜씨
bought	샀다
cleveland	클리블랜드
funding	자금
agriculture	농업
parent	부모
parent	부모님
receiving	수신
signal	신호
signal	신호기
signal	시그널
reform	개혁개방
reform	개혁
column	칼럼
column	기둥
managers	매니저
ukrainian	우크라이나
ukrainian	우크라이나어
gay	게이
gay	게이이
obviously	명백히
obviously	명백하게
flora	플로라
gene	유전자
soul	영혼
soul	소울
discussions	토론
discussions	논의
walker	워커
entrance	입구
path	경로
nice	나이스
string	문자열
developing	개발
abandoned	버림
humans	인간들
humans	인간
flat	평평한
flat	플랫
sample	표본
sample	견본
sample	샘플링
sample	샘플
banned	차단됨
strongly	강력하게
visited	방문
increasing	증가
attorney	변호사
arm	팔이
mathematics	수학
canal	운하
charts	차트
thinking	생각
whatever	무엇이든지
whatever	무엇이든
brain	두뇌
brain	브레인
blog	블로그
economics	경제학
seventh	일곱번째
alex	알렉스
alex	앨릭스
employed	고용
authors	작가
authors	제작자
authors	작성자
recipients	수신자
controversial	논란이
controversial	논란
expressed	표명
conservation	보존
conservation	보전
maps	지도
marie	마리야
marie	마리
arguments	인자
arguments	인수
chain	사슬
chain	연쇄
chain	체인
readers	리더
readers	독자
violation	위반
offices	사무실
wave	파도
wave	웨이브
wave	물결
wave	파동
circle	서클
invasion	침략
invasion	침공
jimmy	지미
opportunity	기회
cycle	주기
cycle	순환
cycle	사이클
doubt	의심
golf	골프
walls	성벽
productions	프로덕션
productions	프로덕션스
constituency	선거구
occurs	발생합니다
occurs	발생
huge	거대
huge	거대한
andy	앤디
indonesia	인도네시아
sell	판매하기
sell	팔아
sell	판매
tank	탱크
tank	전차
advice	충고
advice	조언
senator	상원
senator	상원의원
manner	태도
generated	생성
finland	핀란드
lawyer	변호사
seattle	시애틀
gain	이득
index	색인
index	인덱스
saints	성인인
runner	달리기
crisis	위기
cinema	시네마
cinema	영화
matt	매트
hollywood	헐리우드
hollywood	할리우드
reaction	반응
reaction	공감
documents	문서
reader	리더
lawrence	로런스
lawrence	로렌스
pattern	패턴
atlanta	애틀랜타
atlanta	아틀란타
atlanta	애틀란타
reviewed	검토
reviewed	리뷰
bear	베어
perfect	완벽
perfect	완벽한
baltimore	볼티모어
pan	냄비
duty	듀티
duty	의무
chair	의자
scenes	장면
opposite	반대편
opposite	반대로
opposite	반대
stuff	물건
streets	거리
streets	길거리
billy	빌리
extension	확장
extension	연장
extension	확장자
extension	확대
kelly	켈리
shooting	촬영
shooting	총격
shooting	사격
ready	준비
songwriter	작곡가
songwriter	송라이터
jordan	조던
jordan	조르당
dictionary	사전
composition	합성
composition	작곡
salt	소금
successfully	성공적
successfully	성공적으로
benefit	혜택
interests	관심사
teachers	교사들
teachers	교사
closing	닫기
advertising	광고
maine	메인
retirement	은퇴
retirement	퇴직
scientists	과학자
blocks	차단
blocks	블록
blocks	블럭
requested	요청함
discovery	디스커버리
discovery	발견
expedition	탐험
expedition	원정
citation	표창
creative	크리에이티브
detailed	자세히
facts	팩트
facts	사실
finance	재무
finance	재정
finance	금융
camera	사진기
camera	카메라
returns	반환
returns	리턴
engaged	약혼
assistance	원조
experienced	경험
sale	판매
sale	세일
beautiful	아름다운
beautiful	아름다워
beautiful	아름답다
jane	제인
successor	후임
classification	분류법
classification	분류학
classification	분류
tool	공구
tool	도구
mining	광산
mining	마이닝
mining	광업
cabinet	내각
ross	로스
russell	러셀
citations	인용
evening	저녁
singing	노래
gender	성별
lakes	호수
mail	편지
mail	메일
mail	우편
jeff	제프
electoral	선거
emergency	응급
emergency	비상사태
mode	모드
christopher	크리스토퍼
heads	원수
priest	신부
priest	성직자
funds	기금
funds	자금
funds	펀드
investment	투자
romanian	루마니아
romanian	루마니아인
romanian	루마니아어
session	세션
capture	캡쳐
capture	캡처
reduce	축소
trophy	트로피
abuse	학대
abuse	남용
abuse	악용
walk	산책
walk	걷기
normally	일반적으로
snow	스노우
shop	상점
shop	가게
shop	쇼핑
dakota	다코타
bush	부시
coal	석탄
employees	직원
employees	직원들
error	오류
invited	초대
cable	케이블
protein	단백질
accident	교통사고
accident	사고
measure	측정
measure	측도
patients	환자
patients	환자들
downtown	다운타운
downtown	시내
animated	애니메이션
satellite	인공위성
satellite	위성
johnny	조니
johnny	쟈니
johnny	자니
combination	조합
courts	법원
sequence	순서
sequence	시퀀스
clean	청소
clean	깨끗한
clean	깨끗하다
wed	수요일
owners	소유자
twin	쌍둥이
twin	트윈
describe	설명
describe	설명하기
photos	사진
photos	사진들
trained	훈련
affected	영향받음
affected	영향권
routes	경로
routes	노선
wine	와인
wine	포도주
carlos	카를로스
landing	착륙
landing	랜딩
communes	코뮌
saturday	토요일
drop	방울
drop	떨어뜨리기
drop	드롭
sarah	사라
sarah	새라
sarah	세라
swimming	수영
membership	멤버십
membership	멤버
harris	해리스
dallas	댈러스
dallas	달라스
degrees	도도
bachelor	총각
bachelor	학사
personally	개인적으로
briefly	간략하게
files	파일
extreme	극단
extreme	익스트림
extreme	극한
courses	강좌
courses	코스
courses	과정
vision	비전
vision	시력
vision	시각
vertical	수직
vertical	세로로
vertical	세로
updated	업데이트
marketing	마케팅
appeal	항소
appeal	호소
plane	평면
plane	비행기
quick	빠른
victor	빅토르
victor	빅터
solar	태양광
solar	태양
ages	연령
neighborhood	동네
wings	윙스
wings	날개
scheme	스킴
scheme	배열
constant	상수
hip	엉덩이
admins	운영자
admins	관리자
nova	노바
ceremony	의식
chile	칠레
composers	작곡가
nazi	나치즘
scholar	학자
liverpool	리버풀
hero	히어로
hero	영웅
learned	학습
learned	배운
instruments	악기
instruments	인스트루먼트
welcome	환영
welcome	환영합니다
hair	머리카락
hair	머리
hair	머리카락이
consecutive	연속
movies	영화
adjacent	인접
adjacent	인접한
pool	수영장
norman	노르만
norman	노먼
collections	컬렉션
collections	모음집
corporate	기업인
corporate	기업
austin	오스틴
driving	드라이빙
driving	운전
phone	전화
phone	전화기
phone	전화번호
phone	휴대폰
fly	날아라
fly	플라이
window	창문
document	문서로
document	문서
adams	애덤스
adams	아담스
collaboration	콜라보레이션
collaboration	협력
collaboration	협업
margaret	마거릿
margaret	마르그리트
kennedy	케네디
leg	다리
videos	동영상
videos	비디오
attached	첨부
attached	첨부된
dry	건조
dry	드라이
expand	확장
expand	확대
expand	확장하기
expand	펼치기
bible	성경
instrument	악기
instrument	계기
covering	붕어
random	무작위
random	무작위로
random	랜덤
represents	나타냅니다
participants	참가자
thorough	철저
thorough	철저히
thorough	철저한
mentions	언급
portrait	초상화
portrait	세로
portrait	인물
drivers	운전자
drivers	드라이버
drivers	운전사
airlines	항공
airlines	항공사
franklin	프랭클린
viewers	시청자
finnish	핀란드어
finnish	핀란드
differences	차이와
differences	차이
differences	차이점
venue	장소
venue	공연장
vocal	보컬
element	요소
element	원소
relative	상대
relative	상대적
relative	친척
illegal	불법
stewart	스튜어트
roof	옥상
roof	지붕
leagues	리그
colour	색상
colour	컬러
morgan	모건
prisoners	죄수
facebook	페이스북
attend	참석하기
attend	참석
nelson	넬슨
insurance	보험
expert	전문가
steam	증기
steam	스팀
cards	카드
manufacturing	제조업
manufacturing	제조
testing	테스트
testing	검사
testing	시험
coastal	연안
coastal	해안
rescue	구출
rescue	구조
territories	영토
choose	선택하기
choose	선택
journey	여행
storage	저장소
storage	스토리지
storage	저장
costs	비용
distinct	뚜렷한
soldier	군인
soldier	병사
colony	식민지
evolution	에볼루션
evolution	진화
evolution	진화론
taiwan	타이완
taiwan	대만
hurricane	허리케인
judges	판사
gardens	낙원
gardens	정원
responsibility	책임
responsibility	책임감
sentences	문장
birmingham	버밍엄
engineers	엔지니어
visible	표시
visible	표시됨
installed	설치
installed	설치됨
revolutionary	혁명
inner	내부
trip	여행
restaurant	음식점
restaurant	레스토랑
restaurant	식당
graham	그레이엄
stores	매장
stores	가게
stores	상점
stores	스토어
rice	라이스
prove	증명
reasonable	합리적
skin	스킨
skin	피부
volleyball	배구
factors	요인
hundreds	수백명이
hundreds	수백
injured	부상
devices	기기
devices	디바이스
devices	장치
thompson	톰프슨
advantage	혜택
advantage	장점
disc	디스크
minimum	최소
goods	상품
goods	물품
charges	청구
operator	작용소
operator	연산자
operator	운영자
fred	프레드
identify	식별
identify	식별하기
producers	프로듀서
campbell	캠벨
portland	포틀랜드
latest	최근
latest	최신
releases	출시
releases	릴리즈
releases	릴리스
victims	희생자
victims	피해자
explanation	설명
threat	위협
crossing	건널
crossing	건널목
crossing	건너
slow	느린
slow	느려
slow	느리게
poets	시인
stopped	중단됨
strategy	전략
ranking	순위
ranking	랭킹
disney	디즈니
wright	라이트
excellent	훌륭한
threatened	위협
friendly	친근한
redirects	리다이렉션
temporary	임시
temporary	일시적
masters	마스터즈
masters	마스터스
peninsula	반도
networks	네트워크
passengers	승객
safe	안전한
safe	무사히
safe	안전
festivals	축제
festivals	페스티발
festivals	페스티벌
compete	경쟁
hunter	사냥꾼
hunter	헌터
alaska	알래스카
partnership	파트너십
partnership	파트너쉽
maintenance	유지보수
maintenance	정비
maintenance	점검
monitoring	모니터링
poverty	가난
poverty	빈곤
fri	금요일
suspected	의심
filled	채워진
decide	결정하기
decide	결정
breaking	깨짐
breaking	브레이킹
argentine	아르헨티나
argentine	아르헨티나인
resigned	사임
resigned	사직
drew	드류
drew	드루
hawaii	하와이와
hawaii	하와이
brooklyn	브루클린
brooklyn	브룩클린
permission	권한
permission	허가
permission	허락
wounded	부상당한
marshall	마샬
marshall	마셜
gate	대문
gate	게이트
springs	스프링
springs	스프링스
photography	사진
photography	사진술
helping	돕기
knights	나이트
progressive	진보주의
progressive	프로그레시브
processes	프로세스
terminal	터미널
spouse	배우자
infrastructure	인프라
principle	원칙
principle	원리
frequency	주파수
frequency	빈도
waters	워터스
bridges	브리지스
bridges	다리
bridges	브리지
bridges	브릿지
ceo	최고경영자
monument	기념탑
monument	기념물
monument	모뉴먼트
monument	기념비
mental	멘탈
mental	정신
carter	카터
orleans	올리언스
portal	포탈
portal	포털
parallel	평행
parallel	병렬
thirty	삼십
thirty	서른
giant	자이언트
giant	거대
murray	머리
counter	카운터
bears	베어스
purchase	구매
purchase	구입
purchase	구매하기
expression	표현
expression	표현식
backing	든든한
improvement	향상
improvement	개선
madrid	마드리드
closure	닫힘
closure	폐쇄
wheel	바퀴
iranian	이란어군
iranian	이란
uncle	삼촌
uncle	아저씨
admiral	제독
fishing	낚시
raise	올리기
principles	원칙
principles	원리
grow	자라
tests	테스트
roughly	대충
tech	기술
tech	테크
bat	박쥐
measures	조치
measures	측정
measures	대책
hired	고용
fear	공포
fear	두려움
fear	공포증
participation	참가
participation	참여
designs	설계
designs	디자인
technique	기법
alberta	앨버타
egyptian	이집트
egyptian	이집트어
clerk	사무원
clerk	점원
narrow	좁은
narrow	좁아
narrow	좁다
rapid	급속
rapid	급속한
dating	연애
dating	데이트
businesses	비즈니스
bomb	폭탄
stages	단계
honorary	명예
dragon	드래곤볼
dragon	드래곤
send	송금
send	보내기
send	보냅니다
send	전송
proof	증명
proof	증거
practices	실습
arabic	아라비아어
arabic	아라비아
arabic	아랍어
attractions	관광지
attractions	명소
fix	고쳐
fix	고치
fix	고치기
symbol	기호
symbol	상징
organ	장기
organ	오르간
damaged	손상
damaged	손상된
warren	워렌
exception	예외
costa	코스타
unfortunately	불행히도
jerusalem	예루살렘
replacement	교체
indians	인디언스
indians	인디언
soundtrack	사운드트랙
virgin	버진
virgin	처녀
legislation	입법
legislation	법률
beauty	아름다움
beauty	미녀
beauty	미용
beauty	미모
beauty	미인
buy	사기
organisations	조직
organisations	단체
serbia	세르비아
christianity	기독교
opinions	의견
tribe	부족
richmond	리치먼드
richmond	리치몬드
chess	체스
channels	채널
involvement	개입
anime	애니메이션
sisters	시스터스
sisters	자매들
sisters	자매
requests	요청
unusual	특이한
impossible	불가능하다
impossible	불가능
impossible	불가능한
colors	색상
colors	색깔
cook	요리사
drawing	그리기
wikimedia	위키미디어
removal	제거
moves	움직임
indicates	나타냅니다
admitted	인정
shore	해안
shore	해변
monitored	모니터링
nebraska	네브라스카
nebraska	네브래스카
regulations	규정
crash	추락사고
crash	추락
crash	충돌
abbey	수도원
deleting	삭제
barry	배리
personality	성격
personality	인격
personality	개성
reception	접수
buffalo	버팔로
buffalo	버펄로
flowers	꽃이
bond	채권
bond	결합
bond	본드
adventure	어드벤처
adventure	모험
definitely	확실히
horror	공포
apple	사과
apple	애플
popularity	인기
occasionally	가끔씩
occasionally	가끔
occasionally	때때로
franchise	프랜차이즈
starred	출연
critic	평론
critic	크리틱스
critic	비평가
rolling	굴러
rolling	롤링
percentage	퍼센트
percentage	백분율
percentage	비율
silent	침묵
laboratory	실험실
laboratory	연구소
laboratory	연구실
movements	움직임
charter	헌장
charter	전세
suitable	어울리는
alternate	대체
missions	미션
experimental	실험
rooms	객실
reputation	평판
reputation	명성
accurate	정확한
accurate	정확도
websites	웹사이트
interpretation	해석
tagged	태그
journalists	기자
journalists	저널리스트
comprehensive	포괄적
promotional	프로모션
electrical	전기
tags	태그
meters	미터
tigers	타이거즈
tigers	타이거스
tigers	호랑이
commerce	상거래
commerce	커머스
commerce	상업
remix	리믹스
automatic	자동
printed	인쇄물
printed	인쇄
warner	워너
tend	경향
tend	경향이
quote	따옴표
quote	인용
separated	분리됨
separated	별거
bishops	주교
glasgow	글래스고
essentially	본질적으로
wait	기다린다
wait	기다림
wait	기다렸다
battery	전지현
battery	전지
battery	배터리
apparent	겉보기
shopping	쇼핑
eagle	독수리
eagle	이글
angel	천사
angel	엔젤
morris	모리스
centers	센터
mills	밀스
components	구성요소
components	부품
components	성분
legislature	입법부
tourism	관광
kids	키즈
kids	애들
kids	아이들
kids	어린이
barbara	바바라
repeated	반복
plain	평원
plain	평범
strategic	전략적
similarly	비슷함
similarly	비슷하게
duties	의무
relation	관계
shell	껍질
mounted	마운트
entries	항목
conflicts	갈등
conflicts	분쟁
montana	몬태나
triple	트리플
triple	삼중
boundary	경계
boundary	경계선
hosts	주최
hosts	호스트
seriously	진심
seriously	심각하게
seriously	진지하게
mitchell	미첼
industries	업종
industries	산업
colombia	콜롬비아
comparison	비교
basin	분지
eleven	일레븐
charity	자선단체
charity	자선
output	출력
carbon	탄소
boats	보트
representation	표현
rising	라이징
visitors	방문자
visitors	방문객
markets	시장
plate	접시
giants	자이언츠
giants	자이언트
processing	프로세싱
processing	처리
hunt	사냥
hunt	헌트
summit	정상회담
summit	회담
summit	정상회의
psychology	심리학
guardian	수호
guardian	보호자
guardian	가디언
closer	가까워
losses	손해
losses	손실
balance	균형
balance	밸런스
balance	잔액
democracy	민주주의
democracy	민주화
submarine	잠수함
usual	평상시
usual	평소
peru	페루
eighth	여덟번째
defender	수비수
riding	승마
riding	라이딩
arrival	입국
arrival	도착
imply	암시
cargo	화물
volunteer	자원봉사자
volunteer	자원봉사
bio	소개
bio	바이오
sugar	슈가
sugar	설탕
sugar	슈슈
daughters	딸들
wildlife	야생동물
fun	재미
integrated	통합
partners	파트너는
partners	파트너
grace	그레이스
grace	은혜
feed	피드
childhood	어릴적
childhood	어린시절
photographs	사진들
honour	명예
soil	토양
server	서버
manual	수동
manual	설명서
manual	매뉴얼
ghost	귀신
ghost	유령
ghost	고스트
confused	혼란
tunnel	터널
larry	래리
elevation	고도
phoenix	피닉스
sweet	달콤한
waste	낭비
waste	폐기물
ongoing	진행중
sporting	스포팅
peoples	민족
fruit	과일
fruit	열매
fruit	과일과
decisions	결정
depression	우울증
perspective	관점
crystal	크리스털
crystal	크리스탈
monastery	수도원
resident	주민
resident	레지던트
resident	상주
cincinnati	신시내티
tied	묶여
surgery	수술
surgery	외과
surgery	수술과
steps	스텝
steps	걸음
steps	단계
carrier	항공사
carrier	통신사
carrier	캐리어
stream	스트리밍
stream	스트림
stream	흐름
alice	앨리스
strange	이상한
strange	이상하다
pain	통증
pain	통증이
pain	고통
punk	펑크
suggestion	제안
interaction	상호작용
achievement	업적
achievement	성취
mechanical	기계
drugs	약물
drugs	의약품
drugs	약품
drugs	마약
missed	놓쳤다
expect	기대
trinity	트리니티
trinity	삼위일체
minority	소수
businessman	사업가
coat	외투
coat	코트
powered	전원
keith	키스
harbor	항구
harbor	항만
behaviour	행동
croatian	크로아티아어
croatian	크로아티아
croatian	크로아티아인
terry	테리
virtual	가상
virtual	버추얼
indoor	실내
periods	생리
periods	월경
periods	마침표
spiritual	정신적
lions	라이온스
lions	라이언스
lions	사자
archbishop	주교
archbishop	대주교
merchant	상인
merchant	업체
merchant	판매자
lots	많이
initiative	이니셔티브
charlotte	샬럿
charlotte	샬롯
pure	순수한
pure	순수
borders	국경
borders	경계선
persian	페르시아
persian	페르시아인
persian	페르시안
persian	페르시아어
armenian	아르메니아어
armenian	아르메니아
armenian	아르메니아인
romantic	낭만
romantic	낭만주의
romantic	로맨틱
romantic	낭만적
talent	재능
talent	탤런트
panel	패널
jump	점프
animation	애니메이션
agents	에이전트
employment	고용
trading	트레이딩
trading	거래
trading	무역
parker	파커
statue	동상
statue	여신상
statue	조각상
wonder	원더
wonder	궁금해
friday	금요일
friday	프라이데이
jobs	작업
jobs	일자리
jobs	직업
jobs	잡스
scientist	과학자
schedule	일정
schedule	스케줄
schedule	예약
waiting	기다림
familiar	익숙한
suggestions	추천
suggestions	제안
turner	터너
forming	형성
recommended	추천
recommended	권장
desire	욕망
desire	욕구
desire	욕망이
happens	발생
patient	환자
bulgaria	불가리아
vincent	빈센트
hear	듣기
belief	신념
belief	믿음
belief	신앙
visitor	방문자
visitor	방문객
vessels	혈관
basically	기본적으로
continental	콘티넨탈
continental	대륙
continental	콘티넨털
hole	구멍
hole	구멍이
fail	실패
wedding	결혼식
wedding	웨딩
archaeological	고고학
layer	계층
layer	레이어
designation	명명법
designation	명명
clan	클랜
revenue	수익
couples	커플
couples	부부
suit	슈트
suit	양복
suit	수트
soft	부드러워
soft	청량
soft	부드럽게
soft	부드러운
soft	소프트
weekend	주말
weekend	주말에
approval	승인
democrats	민주당
crimes	범죄
collins	콜린스
horses	말들
wear	착용
supporters	지지자들
supporters	지지자
supporters	후원자
cash	캐시
cash	현금
somewhere	어딘가
dennis	데니스
resource	자원
resource	리소스
sculpture	조각상
sculpture	조각
practical	실무
practical	실용적
practical	실용
harrison	해리슨
pink	분홍색
pink	분홍
pink	핑크
oliver	올리버
limits	한계
limits	제한
cooper	쿠퍼
illustrated	삽화
illustrated	삽화가
statistical	통계학
wolf	늑대
wolf	볼프
wolf	울프
warriors	전사
warriors	워리어스
fresh	신선
fresh	신선한
editions	에디션
roots	뿌리
roots	뿌리기
signature	서명
clinical	임상
volumes	볼륨
worst	최악의
worst	최악
adults	성인
adults	어른
immediate	즉각
feeling	느낌이
feeling	기분
feeling	느낌
theories	이론
